smiles,DockingScore
OC[C@H]1O[C@@H](Oc2ccccc2O)[C@@H]([C@H]([C@@H]1O)O)O,-11.90074348449707
OC[C@@H]([C@H]([C@H]([C@H](/C=N/NC(=O)c1ccncc1)O)O)O)O,-11.664203643798828
OCCC(Cn1cc(c2c1nc(N)nc2O)C#N)O,-11.539719581604004
OCc1nonc1NC(=O)NCc1ccccc1,-11.513614654541016
Oc1ccc(cc1Cc1cc(C)ccc1O)C,-11.49265956878662
OC[C@H]1O[C@@H](Oc2cc(cc(c2O)O)C(=O)OC)[C@@H]([C@H]([C@@H]1O)O)O,-11.481844902038574
OC[C@@H]([C@@H]1OC(=O)[C@@H]([C@@H]1O)O)O,-11.44456386566162
COc1c(O)cc2c3c1oc(=O)c1c3c(oc2=O)c(c(c1)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,-11.36165714263916
CC[C@H](NC(=O)NC1CCC[NH+](C1)C1CCCCC1)CO,-11.239214897155762
Oc1ccc(cc1Cc1cc(F)ccc1O)F,-11.193241119384766
O[C@H]([C@H]([C@@H]([C@@H](C(=O)[O-])O)O)O)/C=N/NC(=O)c1ccncc1,-11.13105297088623
OC[C@@H]([C@H]([C@H]([C@H](/C=N/NC(=O)c1cccs1)O)O)O)O,-11.087860107421877
OCC1OC(Oc2c(O)ccnc2C)C(C(C1O)O)O,-11.08086395263672
OCC(C(C(CO)O)O)O,-11.020565032958984
OC[C@H](C([C@H](CO)O)O)O,-10.986714363098145
ONC(=O)c1ccc(=O)n(c1)[O-],-10.924271583557127
C[NH2+]C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,-10.863973617553713
O[C@@H]1[C@H](O)CN2[C@H]([C@@H]1O)SC(=O)C2=O,-10.835968017578123
Oc1cc(O)c(c(c1)O)C(=O)OCc1ccccc1O,-10.830133438110352
Clc1ccc(cc1)Cc1nc(O)c2c(n1)cccc2,-10.774934768676758
[NH3+]CC1(O)CC(C)C(C(C1O)O)O,-10.766338348388672
[O-]C(=O)C(=O)C[C@@H]([C@H](CO)O)O,-10.74331283569336
CO[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O,-10.741663932800291
O[C@H]1[C@@H](O)C[NH+]2[C@@H]([C@H]1O)[C@@H](O)CC2,-10.698280334472656
CC1CC(C)C(=O)C(C1)C(CC1CC(=O)NC(=O)C1)O,-10.68787670135498
OC[C@@]1(O)SC[C@H]([C@H]([C@@H]1O)O)O,-10.68313217163086
OCC(=O)Nc1cc(O)ccc1O,-10.63844394683838
OCc1cc(O)c(c(c1O)Cl)Cc1cc(O)ccc1O,-10.612990379333496
Oc1nc(nn1Cc1ccccc1)c1ccccc1,-10.589638710021973
Oc1cc(C)c(cc1C(c1ccccn1)O)O,-10.55934238433838
Brc1ccc(c(c1)Cc1ccccc1O)O,-10.517616271972656
OC[C@H]1O[C@@H](Oc2c(O)c3occc3c3c2ccc(=O)o3)[C@@H]([C@H]([C@@H]1O)O)O,-10.515064239501951
ONC(=O)[C@@H](NC(=O)NCc1nnn(c1)Cc1cccnc1)CC(C)C,-10.50379753112793
OCC(C(C(C(=O)C[NH3+])O)O)O,-10.503514289855955
OC[C@H]([C@H]([C@H](CO)O)O)O,-10.49992847442627
OC[C@H]([C@@H]([C@@H]([C@@H](O)C)O)O)O,-10.491165161132812
OCC1OC(S)C(C(C1O)O)O,-10.476902961730955
OC[C@H](CCC[C@@](c1ccc(cc1O)C(=O)[O-])(O)C)C,-10.4673433303833
CC(C/N=c/1\cc(O)c2c(o1)c1ccccc1cc2)O,-10.444884300231934
Oc1cc(Br)c(cc1Oc1cc(Br)c(cc1O)Br)Br,-10.443764686584473
[O-]C(=O)[C@H]([C@H]([C@H]([C@H](c1nc2c(s1)cccc2)O)O)O)O,-10.438867568969728
OC[C@H]([C@@H](C(=O)CO)O)O,-10.435880661010742
OC(C(CO)O)/C=C/n1ccc(=O)[nH]c1=O,-10.432953834533691
OCC(C(C(C(/C=N\NC(=O)c1ccncc1)O)O)O)O,-10.408008575439451
COCc1cc(O)c(cc1O)Cc1cc(O)ccc1O,-10.39547348022461
ONC(=O)N/N=C/c1cc(Cl)cc(c1O)Cl,-10.395132064819336
OC[C@H]1OC(=O)C[C@@H]1O,-10.38169002532959
Oc1ccc(cc1)CC[C@H]1C[C@H](O)[C@@H]([C@H](O1)c1ccc(cc1)O)O,-10.377168655395508
C=CC(c1cc(O)c(cc1O)C(C(C(O)(C)C)O)O)(C)C,-10.373662948608398
Clc1ccc(cc1)Cc1nc2ccccc2nc1O,-10.36963176727295
O=C(c1cc(O)c(cc1O)O)/C=C/c1ccccc1O,-10.368515014648438
[O-]c1cc(on1)C(=O)NO,-10.364934921264648
OCC1=NC(C)C([C@H]([C@@H]1O)O)O,-10.32579517364502
C/N=C/1\C=C(O)c2c(C1=O)cccc2O,-10.32175636291504
OC(Cn1c2CCCCc2c2c1cccc2)C[NH+]1CCCCC1,-10.314016342163086
OCC(C(CC1SCCS1)O)O,-10.303712844848633
[O-]C(=O)[C@H](C[C@@H]([C@H](C(=O)[O-])O)O)O,-10.303607940673828
[O-]C(=O)[C@H]1O[C@@H](Oc2cc3oc(cc(=O)c3c(c2O)[O-])c2ccccc2)[C@@H]([C@H]([C@@H]1O)O)O,-10.281723976135254
O=c1cc(C)c2c(o1)cc(c(c2)OS(=O)(=O)N)O,-10.277390480041504
OC[C@@H]([C@H]([C@@H](C(=O)CO)O)O)O,-10.277388572692873
OC[C@H](COn1cnc2c1nc(N)nc2O)O,-10.272092819213867
O[C@@H]1CN2C(=O)CS[C@H]2[C@@H]([C@@H]1O)O,-10.26968002319336
ONC(=O)/C=C\c1ccccc1,-10.26116943359375
Oc1nc2ccccc2nc1Cc1ccccc1,-10.25299072265625
CO[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@@H]1O)O)O,-10.251612663269045
C[C@H]1CC[C@@H](C(C1)[C@@H](CC1CC(=O)NC(=O)C1)O)O,-10.250627517700195
O=C(Nc1ccncc1)NCC1(O)CCCCC1,-10.24562644958496
OCC1OC(Oc2cc3ccc(=O)oc3cc2O)C(C(C1O)O)O,-10.243229866027832
O[C@@H]1CC(=CC(C1O)O)C(=O)[O-],-10.230621337890623
Oc1nc2ccccc2nc1Cc1ccc(cc1)[N+](=O)[O-],-10.226984024047852
NO[C@@H]1OC(CO)C([C@@H](C1O)O)O,-10.221495628356934
O=C1C[C@@H]2[C@H](O1)[C@H]([C@H](O2)[C@H](c1ccccc1)O)O,-10.220444679260254
Oc1ccc(c(c1)Cc1nc2c(s1)cccc2)O,-10.219318389892578
ONC(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O,-10.19831085205078
CCCC[NH2+][C@@H]1C[C@@H](O)[C@@H]([C@H]([C@H]1O)O)O,-10.181876182556152
Clc1cc(Cc2cc(Cl)cc(c2O)C(=O)[O-])c(c(c1)C(=O)[O-])O,-10.18141746520996
OC[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,-10.175081253051758
O=C(c1ccccc1O)OCc1nc2c(s1)cccc2,-10.166654586791992
OC(Cn1c2ccccc2c2c1cccc2)Cn1cnc2c1cccc2,-10.164382934570312
OCc1c(CO)cnc(c1O)F,-10.157770156860352
ONC(=O)C1CC2CC1C=C2,-10.146544456481934
OC[C@H]1O[C@@H]([C@H]([C@H]1O)O)n1ccc(=O)[nH]c1=O,-10.144699096679688
